country,date,rating,title,shit
canada,7/2/11 23:43,3,Duke and Duchess of Cambridge visit Canada - day three in pictures,pos
canada,7/1/11 18:39,3,William and Kate celebrate Canada Day with its newest citizens,pos
yemen,4/4/11 18:19,1,Yemen troops kill protesters in Taiz,pos
spain,12/9/14 0:15,3,Barcelona police officer mauled by lions after climbing into enclosure,pos
greece,3/9/10 10:21,2,Corpse of former Cyprus president Tassos Papadopoulos found,pos
greece,5/6/10 19:32,2,Greek debt crisis | how did the Greek economy get into such a mess?,pos
ussia,3/20/09 14:49,3,Is Vladimir Putin the mystery man in the picture?,pos
iraq,6/27/03 12:11,2,US soldier killed in Iraq ambush,pos
ussia,2/23/14 19:01,2,Ukraine crisis fuels secession calls in pro-Russian south,pos
canada,6/16/12 13:01,3,With Niagara Falls tightrope walk Nik Wallenda steps into history,pos
greece,5/13/09 16:47,3,"Our man at Bilderberg: Close, but still no cabal",pos
yemen,2/28/11 11:23,3,   --  ,pos
yemen,12/3/10 21:30,2,WikiLeaks cables: Yemen offered US 'open door' to attack al-Qaida on its soil,pos
sweden,3/5/15 13:32,3,Denmark wants to rebrand part of Sweden as 'Greater Copenhagen',pos
greece,10/28/10 19:27,3,Angela Merkel faces uphill battle to revise EU's rules on bailouts,pos
greece,2/18/15 12:45,3,Greece confirms it will ask for bridging loan from eurozone partners,pos
ukraine,1/26/15 15:30,2,Kiev punishes civilians in Donetsk with travel permits and drugs blockade,pos
spain,10/4/03 2:03,3,Mallorca laments missing German tourists,pos
ukraine,3/2/14 16:01,2,"Russia G8 status at risk over 'incredible act of aggression' in Crimea, says Kerry",pos
spain,5/25/05 23:02,1,Bomb blast in Madrid injures 52 ,pos
iraq,2/20/01 3:11,4,Allies ready to ease Iraq sanctions,pos
iraq,11/5/03 3:01,2,Bush wins $87bn to keep up fight in Iraq,pos
greece,8/5/13 18:58,3,Wildfire rages in hills outside Athens - video,pos
germany,6/13/07 22:50,3,Obituary: Jšrg Immendorff,pos
ussia,12/23/09 17:05,3,"Arrest of Mikhail Khodorkovsky partner illegal, court rules",pos
greece,3/21/12 15:41,3,Greek debt crisis: macroeconomist takes reins at finance ministry,pos
greece,12/17/14 20:55,2,Greek election uncertainty fuels concerns over eurozone stability,pos
ukraine,4/17/14 20:45,2,Ukrainian oligarch offers bounty for capture of Russian 'saboteurs',pos
ukraine,1/2/09 0:01,3,Home fires carry on burning as Ukrainian presidential rivals bicker over policy,pos
iraq,4/10/06 0:31,2,Leaked report reveals US concerns on Iraq,pos
yemen,8/22/11 14:38,3,Twitter network of Arab protests - interactive map,pos
