HITID,title,Worker1,rating,asdf,Date
3GKAWYFRAPT725IBROLXFVTKIU5PDM,Canadian MPs hold first caucuses since shooting: 'Nothing is going to stop us',AS9E0S6DBSWH7,2,2.0,2015-03-31 00:45:34 UTC
3CKVGCS3PG5AGDX97T1WVTECBP40SL,Win your lover back (for &#163;3,A34MLDXV03B7K9,2,2.0,2015-03-31 01:13:51 UTC
3QGHA0EA0J047HHSPE8MCZDG86XBWX,Wen Jiabao talks of democracy and freedom in CNN interview,A34MLDXV03B7K9,2,2.0,2015-03-31 01:14:04 UTC
372AGES0I456CO37VGQYEXWRZU5RXI,British forces try to mend fences in town where six soldiers died,A34MLDXV03B7K9,2,2.0,2015-03-31 01:14:35 UTC
3W5PY7V3UP7EE5A4S73RVKH9RJ6JYP,Big test for pride of Iraqi arsenal,A1GKEEI844CEKI,1,1.0,2015-03-31 00:42:37 UTC
3KQC8JMJGCSH7WIQFM7GTD5H5Q7H3C,41 held over Turkish terror links,A1GKEEI844CEKI,1,1.0,2015-03-31 00:41:54 UTC
31ODACBENUFY4628ORVBAZ5UOT2SQB,India urges US to drop charges against diplomat Devyani Khobragade,A109CH3492UU42,1,1.0,2015-03-31 01:18:08 UTC
3B623HUYJ4QSY22C2XEBO8KUUNG8SG,Iran 'could maintain nuclear freeze',A1GKEEI844CEKI,1,1.0,2015-03-31 00:42:31 UTC
334ZEL5JX6FVJUPS9E37LUAU9SJSO2,Divided by war,A1GKEEI844CEKI,1,1.0,2015-03-31 00:43:57 UTC
32XN26MTXZJNC02JNK4VJ70HJVW0L7,China: toddler caught after falling five storeys from building - video,AS9E0S6DBSWH7,1,1.0,2015-03-31 00:43:56 UTC
37OPIVELUU3HRHHBO1MQGLJNB0ZHA8,India frees UK arms smuggler,A1GKEEI844CEKI,1,1.0,2015-03-31 00:44:39 UTC
3X55NP42EOG9KDGEYZFL2M78RHGP3O,Rape protests spread beyond India,AS9E0S6DBSWH7,1,1.0,2015-03-31 00:45:10 UTC
3ZRKL6Z1E837RH8ULVQZGL1SI6SSGF,Donetsk residents happy as barricades are removed - video,AS9E0S6DBSWH7,1,1.0,2015-03-31 00:45:14 UTC
3Y3N5A7N4G94FDGPV4GJBC9QVD1YM8,Captured UK personnel shown on Iranian TV,AS9E0S6DBSWH7,1,1.0,2015-03-31 00:48:15 UTC
385MDVINFCFAP0F4D6L3ANWTGB6JWQ,Sweden: Spring breaks the ice on a lakeland walk,AS9E0S6DBSWH7,1,1.0,2015-03-31 00:46:55 UTC
3BPP3MA3TCKM3QHDVR3A4W2LDW6EL7,Canadian team finds Franklin ship on seabed  video,AS9E0S6DBSWH7,1,1.0,2015-03-31 00:47:24 UTC
3HYV4299H0WROJXU12U6ZRGFTW78EF,World execution numbers fall,A109CH3492UU42,1,1.0,2015-03-31 01:08:43 UTC
3ZFRE2BDQ9EFEFPY5XKB00YQ8BPXZI,Biden pledges support for Ukraine as east edges closer to union with Russia,A1UL8XW5GSWYAA,1,1.0,2015-03-31 01:08:43 UTC
3JY0Q5X05J641CZ3QVWIR7IPUVZGGK,Google Street View braves Canadian Arctic to chart little-known territory,A1UL8XW5GSWYAA,1,1.0,2015-03-31 01:08:56 UTC
3SA4EMRVJV2D3LHHFCX20O91O5X0P5,Polling begins in Crimeas referendum - video,AS9E0S6DBSWH7,1,1.0,2015-03-31 00:47:35 UTC
3MD8CKRQZZN5H4YIECBXNOOCOWRJRN,Stampede for 'Bush shoe' creates 100 new jobs,A9KPCMO1J1LQF,1,1.0,2015-03-31 00:47:14 UTC
356ZPKYPUHHA0GD2NK8BSG3L0ICYP4,Iranian activist wins Nobel peace prize,A1GKEEI844CEKI,1,1.0,2015-03-31 00:47:00 UTC
3H5TOKO3D9JMS3HDJHLV6R8XACN64L,New breed of Islamic politicians start to find their feet,AS9E0S6DBSWH7,1,1.0,2015-03-31 00:46:34 UTC
3E22YV8GG16GOH9OGIZ0B05EWY8PN5,Delhi attempts to reassure tourists in wake of terror fears,A1GKEEI844CEKI,1,1.0,2015-03-31 00:48:30 UTC
36AZSFEYZ40RSSHNZ43QQXU21XUVB6,Ken Bigley makes new video appeal,A34MLDXV03B7K9,1,1.0,2015-03-31 01:11:00 UTC
3087LXLJ6MG1C8SN191XOUVXMZA0F2,Bush urges Arab allies to confront Iran,A109CH3492UU42,1,1.0,2015-03-31 01:11:17 UTC
35XW21VSVGEND9MVWMNFTD60ENFSLM,Tokyo shows its conservationist colours,A1GKEEI844CEKI,1,1.0,2015-03-31 00:51:12 UTC
3X55NP42EOG9KDGEYZFL2M78RHH3P3,Tokyo to change law so its forces can aid America,A109CH3492UU42,1,1.0,2015-03-31 01:13:07 UTC
3I7KR83SNADUOO8E2GBNXIOVXZLK90,US drops weapons and ammunition to help Kurdish fighters in Kobani,AS9E0S6DBSWH7,1,1.0,2015-03-31 00:50:43 UTC
3OZ4VAIBEXFXABFZNWG7OLDF923VJR,Monitors vow to aid new vote in Ukraine,A109CH3492UU42,1,1.0,2015-03-31 01:13:13 UTC
