Cameron urges China to take greater role in world affairs,"Wang Xiaodong on why China, his country, must not trust the US",China building boom helps make machinery magnate richest man,Flight MH370: hunger strike threat from Chinese passengers relatives,"China winning cyber war, Congress warned "
Wife admits killing top banker,Guardian website unblocked in China after users reported access was denied,Olympics blamed for forcible removal of 2m over 20 years,Activist who faced police harassment in China is in US,Half China's chemical plants pose 'grave risk'
Bush writes to widow of Chinese pilot,Chinese activists detained after seeking Obama meeting,Xinran: If only a kiss was just a kiss in China,Chongqing tower blocks demolished in controlled explosions  video,China police station attack leaves several dead in Xinjiang
Letter from China:  spirit quest,China voices: the construction worker,Asias richest woman appeals for millions,Chinas Cultural Revolution remembered by artist Xu Weixin - video,China faces up to obesity epidemic
Taiwan's voters defy Beijing,Chinese fans riot at ref's foul decision,The risk that China is taking,China hopes to stand firm in storm,China: lawyers fear new regulation against 'disrupting' hearings
"In ever-widening security cordon, a palpable fear",Letter from China: Kazakh life,Video Chinas migrant families suffer under hukou housing registration system,What they're reading in China,Gu Kailai trial: China braced for global attention
"Eyewitness: Hong Kong, China",Six-nation group tries to defuse tensions over Iran nuclear programme,Leader: China returns spy plane,Number of Chinese web users grows by a third,Chinese fireworks truck explosion destroys bridge
Death sentence for Chinese Christian sect trio,French Spiderman Alain Robert,Japanese MP says Japan could become Chinese province,Spy plane crisis: An explicit threat - but only in Chinese,Chinas alarming increase in obesity blamed on more affluent lifestyle
HIV wedding rings in change for China,US threatens to quit talks with China,Beijing takes first step to end betting ban,Taiwan president shot in election attack,Zhou Yongkang: oil boss who became China's third most powerful man
Your Lifelong Prisoner  Liu Xiaobos poem from prison,China supports Pakistan in row over Nato border attack,China sentences six men to death over ethnic riots,Thousands evacuated after blasts hit Chinese chemical plant,Hong Kong hit by typhoon Vicente  video
Letters: Syria and foreign intervention,China milk scandal Sanlu Group chief stands trial for role in melamine contamination,Toll dodgers tear road through Great Wall,MH370: Malaysia releases cockpit transcript,Eyewitness: Enter the dragon
Eyewitness: Stormy weather,Chinese village protest turns into riot of thousands,China protester paralysed by beating,China and India launch joint anti-terror drill,Flight MH370: passengers on stolen passports 'not Asian looking
"North Korea is direct threat to US, says defence secretary Robert Gates",HIV/Aids activist flees China for US,"China finds 2,000-year-old city",Leader: Europe should put a brake on Beijings excesses,China calls Australian spy HQ plans hacking claims 'groundless'
Chinese conman who fooled officials to demolish police HQ reveals his secrets,George Bushs spyplane statement,China's citizen journalists finding the mouse is mightier than the pen,China: Bo Xilai sentenced to life in verdict intended to send a message,Mao Hengfeng Amnesty urgent action
Monster double eggs laid by miracle chicken in China  video,Piglets on the run elude traffic police in China - video,US embassy cables Former Singapore PM on psychopathic North Koreans,G20: Barack Obama uses visit to reassert US influence in Asia Pacific,Tsang poised to take Hong Kong leadership
The Chinese multinational making millions out of vulnerable Ugandans,Panda keepers wear fancy-dress at reserve in China - video,Video: Villagers found alive after mudslide in Taiwan,Deng Xiaoping TV thriller serves Chinese presidents agenda,Inside the court of the Tibetan god-king
Chinese police shut down protest over woman's death at Beijing shopping mall,Hillary Clinton criticises Beijing over internet censorship,China warns US over plan for 6.5bn arms sale to Taiwan,Chinese human rights lawyer abandons activism to reunite with family,260 billion eggs on the Chinese menu
Simon Tisdall: Writing is on the wall for wary Taiwan,Climate change Europe and US press G20 leaders for strong action,China plans to track Beijing citizens through their mobiles,China tries 20m hi-tech raindance as country roasts in heatwave,Video: Million flee floods in southern China
Chinese officials cancel The Vagina Monologues,Chinese villagers seize party chief,China denies deporting New York Times journalist Austin Ramzy,Security council to vote on North Korea sanctions,Propaganda bureau takes control of two Beijing newspapers
China claims train blue riband,China poultry factory fire survivors describe blast  video,US granted access to grounded spy plane crew,Cadburys latest to recall products in Chinese milk scare,Japanese firms close offices in China as islands row escalates
Fukushima evacuees demand compensation,Piscine pedicure keeps bathers on their toes,Tsunami alert as earthquake rocks Japanese islands,Japanese fishermen to be freed but skipper is held,Former Peruvian president set for shock comeback in Japan
