"End Date","EUR/USD","EUR/JPY","EUR/GBP","",""
"2011-04-29","1.4823","121.14","0.8893",,
"2011-04-28","1.4686","120.34","0.8884",,
"2011-04-27","1.4591","119.24","0.8855",,
"2011-04-26","1.4576","119.56","0.8829",,
"2011-04-25","1.4562","119.24","0.8820",,
"2011-04-24","1.4562","119.25","0.8821",,
"2011-04-23","1.4558","119.23","0.8815",,
"2011-04-22","1.4575","119.60","0.8836",,
"2011-04-21","1.4448","119.46","0.8829",,
"2011-04-20","1.4271","117.73","0.8765",,
"2011-04-19","1.4321","118.60","0.8799",,
"2011-04-18","1.4429","119.96","0.8838",,
"2011-04-17","1.4430","119.96","0.8838",,
"2011-04-16","1.4459","120.47","0.8850",,
"2011-04-15","1.4457","120.64","0.8859",,
"2011-04-14","1.4478","121.50","0.8900",,
"2011-04-13","1.4446","121.46","0.8869",,
"2011-04-12","1.4452","122.45","0.8832",,
"2011-04-11","1.4472","122.69","0.8840",,
"2011-04-10","1.4478","122.70","0.8840",,
"2011-04-09","1.4392","122.46","0.8797",,
"2011-04-08","1.4299","121.80","0.8766",,
"2011-04-07","1.4285","121.77","0.8756",,
"2011-04-06","1.4200","119.88","0.8768",,
"2011-04-05","1.4225","119.59","0.8816",,
"2011-04-04","1.4237","119.68","0.8834",,
"2011-04-03","1.4237","119.67","0.8835",,
"2011-04-02","1.4169","118.73","0.8826",,
"2011-04-01","1.4170","117.45","0.8811",,
"2011-03-31","1.4099","116.83","0.8794",,
"2011-03-30","1.4091","115.53","0.8810",,
"2011-03-29","1.4065","114.87","0.8790",,
"2011-03-28","1.4081","114.58","0.8780",,
"2011-03-27","1.4088","114.62","0.8782",,
"2011-03-26","1.4146","114.77","0.8793",,
"2011-03-25","1.4123","114.31","0.8720",,
"2011-03-24","1.4158","114.56","0.8680",,
"2011-03-23","1.4219","115.18","0.8700",,
"2011-03-22","1.4182","114.90","0.8726",,
"2011-03-21","1.4183","114.34","0.8735",,
"2011-03-20","1.4182","114.30","0.8735",,
"2011-03-19","1.4092","114.21","0.8720",,
"2011-03-18","1.3969","110.21","0.8689",,
"2011-03-17","1.3952","112.50","0.8686",,
"2011-03-16","1.3948","113.45","0.8666",,
"2011-03-15","1.3954","114.23","0.8666",,
"2011-03-14","1.3911","113.87","0.8649",,
"2011-03-13","1.3903","113.80","0.8645",,
"2011-03-12","1.3821","114.03","0.8614",,
"2011-03-11","1.3851","114.80","0.8580",,
"2011-03-10","1.3899","115.04","0.8591",,
"2011-03-09","1.3939","114.94","0.8615",,
"2011-03-08","1.3990","115.00","0.8605",,
"2011-03-07","1.3988","115.14","0.8598",,
"2011-03-06","1.3986","115.09","0.8597",,
"2011-03-05","1.3968","115.12","0.8585",,
"2011-03-04","1.3887","113.87","0.8521",,
"2011-03-03","1.3806","113.03","0.8482",,
"2011-03-02","1.3814","113.29","0.8486",,
"2011-03-01","1.3785","112.71","0.8525",,
"2011-02-28","1.3753","112.34","0.8533",,
"2011-02-27","1.3753","112.33","0.8533",,
"2011-02-26","1.3792","112.91","0.8559",,
"2011-02-25","1.3773","112.94","0.8509",,
"2011-02-24","1.3714","113.38","0.8466",,
"2011-02-23","1.3632","113.23","0.8433",,
"2011-02-22","1.3680","113.73","0.8429",,
"2011-02-21","1.3697","113.89","0.8426",,
"2011-02-20","1.3693","113.89","0.8425",,
"2011-02-19","1.3617","113.43","0.8406",,
"2011-02-18","1.3579","113.39","0.8422",,
"2011-02-17","1.3526","113.25","0.8397",,
"2011-02-16","1.3506","112.85","0.8399",,
"2011-02-15","1.3499","112.47","0.8423",,
"2011-02-14","1.3548","113.04","0.8462",,
"2011-02-13","1.3551","113.07","0.8464",,
"2011-02-12","1.3557","113.13","0.8453",,
"2011-02-11","1.3662","113.06","0.8494",,
"2011-02-10","1.3660","112.58","0.8497",,
"2011-02-09","1.3625","111.98","0.8458",,
"2011-02-08","1.3578","111.74","0.8422",,
"2011-02-07","1.3578","111.61","0.8431",,
"2011-02-06","1.3581","111.63","0.8432",,
"2011-02-05","1.3615","111.31","0.8447",,
"2011-02-04","1.3748","112.24","0.8493",,
"2011-02-03","1.3821","112.65","0.8548",,
"2011-02-02","1.3748","112.39","0.8548",,
"2011-02-01","1.3643","111.98","0.8577",,
"2011-01-31","1.3608","111.73","0.8584",,
"2011-01-30","1.3611","111.79","0.8585",,
"2011-01-29","1.3691","112.98","0.8618",,
"2011-01-28","1.3709","113.19","0.8609",,
"2011-01-27","1.3686","112.49","0.8640",,
"2011-01-26","1.3642","112.43","0.8585",,
"2011-01-25","1.3607","112.51","0.8519",,
"2011-01-24","1.3616","112.47","0.8514",,
"2011-01-23","1.3618","112.47","0.8514",,
"2011-01-22","1.3525","112.02","0.8487",,
"2011-01-21","1.3461","110.91","0.8443",,
"2011-01-20","1.3455","110.64","0.8413",,
"2011-01-19","1.3348","110.25","0.8366",,
"2011-01-18","1.3318","110.25","0.8388",,
"2011-01-17","1.3387","110.93","0.8436",,
"2011-01-16","1.3386","110.93","0.8436",,
"2011-01-15","1.3357","110.55","0.8428",,
"2011-01-14","1.3194","109.44","0.8360",,
"2011-01-13","1.3021","108.32","0.8318",,
"2011-01-12","1.2948","107.57","0.8315",,
"2011-01-11","1.2914","107.22","0.8310",,
"2011-01-10","1.2906","107.34","0.8302",,
"2011-01-09","1.2908","107.35","0.8302",,
"2011-01-08","1.2979","108.12","0.8384",,
"2011-01-07","1.3106","109.03","0.8455",,
"2011-01-06","1.3238","109.11","0.8512",,
"2011-01-05","1.3352","109.49","0.8590",,
"2011-01-04","1.3326","108.47","0.8589",,
"2011-01-03","1.3377","108.48","0.8571",,
"2011-01-02","1.3381","108.50","0.8573",,
"2011-01-01","1.3341","108.55","0.8606",,
"2010-12-31","1.3253","108.07","0.8567",,
"2010-12-30","1.3141","107.93","0.8528",,
"2010-12-29","1.3196","108.71","0.8549",,
"2010-12-28","1.3136","108.84","0.8520",,
"2010-12-27","1.3121","108.76","0.8501",,
"2010-12-26","1.3122","108.78","0.8501",,
"2010-12-25","1.3121","108.85","0.8498",,
"2010-12-24","1.3105","108.99","0.8506",,
"2010-12-23","1.3117","109.73","0.8493",,
"2010-12-22","1.3145","110.03","0.8477",,
"2010-12-21","1.3149","110.25","0.8471",,
"2010-12-20","1.3187","110.74","0.8489",,
"2010-12-19","1.3189","110.76","0.8489",,
"2010-12-18","1.3251","111.26","0.8502",,
"2010-12-17","1.3224","111.35","0.8488",,
"2010-12-16","1.3326","111.82","0.8492",,
"2010-12-15","1.3409","111.82","0.8466",,
"2010-12-14","1.3261","111.26","0.8395",,
"2010-12-13","1.3226","111.04","0.8369",,
"2010-12-12","1.3227","111.04","0.8369",,
"2010-12-11","1.3240","110.89","0.8383",,
"2010-12-10","1.3255","111.18","0.8395",,
"2010-12-09","1.3237","111.02","0.8401",,
"2010-12-08","1.3331","110.35","0.8458",,
"2010-12-07","1.3329","110.34","0.8479",,
"2010-12-06","1.3417","110.73","0.8503",,
"2010-12-05","1.3417","110.72","0.8503",,
"2010-12-04","1.3268","110.67","0.8479",,
"2010-12-03","1.3154","110.57","0.8431",,
"2010-12-02","1.3056","109.45","0.8376",,
"2010-12-01","1.3064","109.64","0.8401",,
"2010-11-30","1.3192","111.01","0.8465",,
