Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2007,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, and administrative records]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,
,,Jan. 2007,Feb. 2007,Mar. 2007,Apr. 2007,May 2007,Jun. 2007,Jul. 2007,Aug. 2007,Sep. 2007,Oct. 2007,Nov. 2007,Dec. 2007,TOTAL
,NOT ADJUSTED,,,,,,,,,,,,,
," Retail and food services sales, total","328,877","323,162","374,142","358,535","391,512","376,639","372,354","388,016","353,936","368,681","377,802","426,077","4,439,733"
,Retail sales and food services excl motor vehicle and parts,"262,292","253,789","290,309","281,270","306,329","296,815","293,257","303,383","280,466","294,220","310,458","357,006","3,529,594"
,"Retail sales, total","295,284","290,065","335,917","321,981","353,201","338,189","333,815","349,191","317,145","331,073","341,848","387,473","3,995,182"
,"Retail sales, total (excl. motor vehicle and parts dealers)","228,699","220,692","252,084","244,716","268,018","258,365","254,718","264,558","243,675","256,612","274,504","318,402","3,085,043"
,GAFO(1),"81,867","80,923","91,885","86,935","93,516","91,675","89,929","97,930","87,545","90,808","106,767","143,646","1,143,426"
441,Motor vehicle and parts dealers,"66,585","69,373","83,833","77,265","85,183","79,824","79,097","84,633","73,470","74,461","67,344","69,071","910,139"
"4411,4412",Automobile and other motor vehicle dealers,"61,048","63,931","77,323","71,195","78,577","73,265","72,619","77,809","67,408","67,717","61,212","63,300","835,404"
4411,Automobile dealers,"57,009","59,771","70,738","64,366","70,465","65,945","66,174","71,327","62,397","62,846","57,241","59,124","767,403"
44111,New car dealers,"50,920","53,146","63,462","57,632","63,279","59,095","59,393","64,017","55,806","56,263","51,284","53,410","687,707"
44112,Used car dealers,"6,089","6,625","7,276","6,734","7,186","6,850","6,781","7,310","6,591","6,583","5,957","5,714","79,696"
4413,"Automotive parts, acc., and tire stores","5,537","5,442","6,510","6,070","6,606","6,559","6,478","6,824","6,062","6,744","6,132","5,771","74,735"
"442,443","Furniture, home furn, electronics, and appliance stores","17,199","16,445","17,662","15,966","17,412","17,312","17,354","18,747","16,864","17,093","20,604","25,085","217,743"
442,Furniture and home furnishings stores,"8,802","8,423","9,415","8,553","9,266","9,171","9,194","9,867","8,885","9,069","10,012","10,487","111,144"
4421,Furniture stores,"4,851","4,903","5,195","4,688","5,018","4,892","4,874","5,206","4,873","4,740","5,063","4,985","59,288"
4422,Home furnishings stores,"3,951","3,520","4,220","3,865","4,248","4,279","4,320","4,661","4,012","4,329","4,949","5,502","51,856"
44221,Floor covering stores,"1,741","1,567","1,937","1,797","1,919","1,952","1,901","2,087","1,776","1,977","1,807","1,610","22,071"
442299,All other home furnishings stores,"2,088","1,843","2,155","1,926","2,180","2,171","2,253","2,410","2,093","2,193","2,980","3,771","28,063"
443,Electronics and appliance stores,"8,397","8,022","8,247","7,413","8,146","8,141","8,160","8,880","7,979","8,024","10,592","14,598","106,599"
44311,"Appl.,TV, and other elect. stores","6,485","6,267","6,327","5,655","6,310","6,267","6,254","6,784","6,081","6,109","8,273","11,317","82,129"
443111,Household appliance stores,"1,395","1,306","1,447","1,343","1,541","1,532","1,479","1,565","1,405","1,486","1,635","1,665","17,799"
443112," Radio, T.V., and other elect. stores","5,090","4,961","4,880","4,312","4,769","4,735","4,775","5,219","4,676","4,623","6,638","9,652","64,330"
44312, Computer and software stores,"1,646","1,513","1,630","1,482","1,487","1,512","1,579","1,770","1,614","1,619","1,952","2,683","20,487"
