Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2009,,,,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, and administrative records]",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,,,,
,,Jan. 2009,Feb. 2009,Mar. 2009,Apr. 2009,May 2009,Jun. 2009,Jul. 2009,Aug. 2009,Sep. 2009,Oct. 2009,Nov. 2009,Dec. 2009,TOTAL,,,,,
,NOT ADJUSTED,,,,,,,,,,,,,,,,,,
," Retail and food services sales, total","310,408","299,614","328,711","330,014","347,923","344,594","348,258","353,629","324,870","338,800","339,546","400,455","4,066,822",,,,,
,Retail sales and food services excl motor vehicle and parts,"260,307","249,611","271,553","274,057","290,148","285,029","285,925","287,366","272,718","283,936","289,552","344,705","3,394,907",,,,,
,"Retail sales, total","274,200","264,645","290,227","292,175","307,643","306,209","309,002","314,707","288,261","300,515","304,000","362,868","3,614,452",,,,,
,"Retail sales, total (excl. motor vehicle and parts dealers)","224,099","214,642","233,069","236,218","249,868","246,644","246,669","248,444","236,109","245,651","254,006","307,118","2,942,537",,,,,
,GAFO(1),"81,354","80,419","84,748","84,766","90,438","85,824","86,629","92,063","83,196","88,135","97,857","132,940","1,088,369",,,,,
441,Motor vehicle and parts dealers,"50,101","50,003","57,158","55,957","57,775","59,565","62,333","66,263","52,152","54,864","49,994","55,750","671,915",,,,,
"4411,4412",Automobile and other motor vehicle dealers,"44,340","44,270","50,755","49,552","51,443","52,903","55,750","59,876","46,024","48,435","44,309","49,849","597,506",,,,,
4411,Automobile dealers,"41,575","41,344","46,600","45,113","46,532","48,116","51,134","55,719","42,328","45,299","41,474","46,966","552,200",,,,,
44111,New car dealers,"36,038","35,267","40,593","39,469","41,099","42,473","45,669","49,983","37,145","40,111","36,831","42,218","486,896",,,,,
44112,Used car dealers,"5,537","6,077","6,007","5,644","5,433","5,643","5,465","5,736","5,183","5,188","4,643","4,748","65,304",,,,,
4413,"Automotive parts, acc., and tire stores","5,761","5,733","6,403","6,405","6,332","6,662","6,583","6,387","6,128","6,429","5,685","5,901","74,409",,,,,
"442,443","Furniture, home furn, electronics, and appliance stores","14,935","14,509","14,296","13,358","14,136","14,335","14,563","14,837","14,055","13,771","16,676","20,956","180,427",,,,,
442,Furniture and home furnishings stores,"6,803","6,599","6,916","6,616","6,983","6,933","7,207","7,170","6,981","6,865","7,394","8,427","84,894",,,,,
4421,Furniture stores,"3,839","3,910","3,847","3,571","3,839","3,699","3,800","3,934","3,823","3,719","3,844","3,936","45,761",,,,,
4422,Home furnishings stores,"2,964","2,689","3,069","3,045","3,144","3,234","3,407","3,236","3,158","3,146","3,550","4,491","39,133",,,,,
44221,Floor covering stores,"1,182","1,139","1,232","1,256","1,248","1,423","1,443","1,339","1,322","1,305","1,217","1,211","15,317",,,,,
442299,All other home furnishings stores,"1,677","1,456","1,726","1,683","1,799","1,713","1,862","1,810","1,745","1,747","2,244","3,187","22,649",,,,,
443,Electronics and appliance stores,"8,132","7,910","7,380","6,742","7,153","7,402","7,356","7,667","7,074","6,906","9,282","12,529","95,533",,,,,
44311,"Appl.,TV, and other elect. stores","6,369","6,267","5,612","5,069","5,489","5,509","5,528","5,838","5,320","5,289","7,081","9,536","72,907",,,,,
443111,Household appliance stores,"1,259","1,152","1,195","1,194","1,253","1,281","1,304","1,308","1,204","1,257","1,398","1,490","15,295",,,,,
443112," Radio, T.V., and other elect. stores","5,110","5,115","4,417","3,875","4,236","4,228","4,224","4,530","4,116","4,032","5,683","8,046","57,612",,,,,
44312, Computer and software stores,"1,542","1,483","1,541","1,449","1,400","1,634","1,607","1,596","1,526","1,425","1,964","2,628","19,795",,,,,
444,Building mat. and garden equip. and supplies dealers,"17,609","17,073","21,513","24,977","26,960","26,364","24,015","21,538","21,321","21,279","19,929","19,194","261,772",,,,,
4441,Building mat. and supplies dealers,"15,713","15,188","18,584","20,640","22,175","22,059","21,046","19,363","19,397","19,094","17,580","16,824","227,663",,,,,
44412,Paint and wallpaper stores,561,558,657,715,709,789,799,749,720,669,563,484,"7,973",,,,,
44413, Hardware stores,"1,343","1,228","1,497","1,729","1,955","1,761","1,600","1,519","1,453","1,543","1,455","1,614","18,697",,,,,
445,Food and beverage stores,"47,144","42,642","45,777","46,498","49,195","47,007","48,974","47,920","46,281","47,960","47,470","52,216","569,084",,,,,
4451,Grocery stores,"42,966","38,544","41,336","41,806","44,062","42,173","43,868","43,023","41,566","43,050","42,537","45,428","510,359",,,,,
44511,Supermarkets and other grocery (except convenience) stores,"41,396","37,004","39,660","40,117","42,264","40,348","42,009","41,194","39,807","41,264","40,794","43,616","489,473",,,,,
4453,"Beer, wine, and liquor stores","2,924","2,792","3,037","3,144","3,483","3,322","3,573","3,416","3,281","3,444","3,375","4,652","40,443",,,,,
446,Health and personal care stores,"20,724","19,871","21,569","21,093","21,117","21,010","20,876","20,628","20,658","21,386","20,654","23,692","253,278",,,,,
44611,Pharmacies and drug stores,"17,743","17,029","18,502","18,226","18,148","17,946","17,959","17,607","17,772","18,494","17,787","20,070","217,283",,,,,
447,Gasoline stations,"26,552","25,631","28,462","29,449","32,973","35,963","36,359","37,003","34,373","35,054","34,374","35,286","391,479",,,,,
448,Clothing and clothing access. stores,"13,368","14,664","15,548","16,330","17,251","15,419","15,982","17,628","15,614","17,028","18,297","27,063","204,192",,,,,
4481,Clothing stores,"10,106","10,498","11,746","12,316","12,746","11,524","12,023","12,941","11,749","13,002","13,812","18,692","151,155",,,,,
44811, Men's clothing stores,535,507,555,685,666,622,591,567,595,629,639,959,"7,550",,,,,
44812,Women's clothing stores,"2,326","2,469","3,010","3,330","3,349","2,956","2,777","3,010","3,009","3,171","3,270","4,180","36,857",,,,,
