Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2010,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2010,Feb. 2010,Mar. 2010,Apr. 2010,May 2010,Jun. 2010,Jul. 2010,Aug. 2010,Sep. 2010,Oct. 2010,Nov. 2010,Dec. 2010,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
," Retail and food services sales, total","314,812","311,189","361,005","356,633","365,913","358,875","362,215","362,884","346,301","355,480","366,067","426,965","4,288,339",,
,Retail sales and food services excl motor vehicle and parts,"264,982","259,358","293,490","292,215","300,631","294,164","295,178","296,801","284,615","294,084","307,229","362,425","3,545,172",,
,"Retail sales, total","279,259","275,788","321,581","317,191","325,075","319,404","321,140","322,526","307,894","315,284","328,580","387,141","3,820,863",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","229,429","223,957","254,066","252,773","259,793","254,693","254,103","256,443","246,208","253,888","269,742","322,601","3,077,696",,
,GAFO(1),"79,926","81,428","89,831","86,932","91,337","88,196","89,431","93,190","85,709","89,262","102,660","136,688","1,114,590",,
441,Motor vehicle and parts dealers,"49,830","51,831","67,515","64,418","65,282","64,711","67,037","66,083","61,686","61,396","58,838","64,540","743,167",,
"4411,4412",Automobile and other motor vehicle dealers,"44,509","46,201","60,848","57,793","58,807","57,762","60,200","59,011","54,927","54,575","52,311","58,005","664,949",,
4411,Automobile dealers,"42,164","43,453","56,510","53,015","54,211","53,087","55,899","55,173","51,616","51,534","49,474","55,335","621,471",,
44111,New car dealers,"37,052","37,172","49,948","47,076","48,371","46,909","49,733","48,901","45,660","45,425","43,882","49,822","549,951",,
44112,Used car dealers,"5,112","6,281","6,562","5,939","5,840","6,178","6,166","6,272","5,956","6,109","5,592","5,513","71,520",,
4413,"Automotive parts, acc., and tire stores","5,321","5,630","6,667","6,625","6,475","6,949","6,837","7,072","6,759","6,821","6,527","6,535","78,218",,
"442,443","Furniture, home furn, electronics, and appliance stores","13,773","14,161","14,898","13,762","14,426","14,745","15,063","15,333","14,638","14,022","16,985","21,244","183,050",,
442,Furniture and home furnishings stores,"6,337","6,482","7,290","6,746","6,952","6,918","7,260","7,347","7,115","6,807","7,648","8,506","85,408",,
4421,Furniture stores,"3,679","3,830","4,087","3,671","3,961","3,744","3,958","3,991","3,926","3,707","4,000","4,040","46,594",,
4422,Home furnishings stores,"2,658","2,652","3,203","3,075","2,991","3,174","3,302","3,356","3,189","3,100","3,648","4,466","38,814",,
44221,Floor covering stores,994,"1,086","1,266","1,247","1,122","1,352","1,319","1,383","1,297","1,248","1,167","1,112","14,593",,
442299,All other home furnishings stores,"1,579","1,484","1,833","1,735","1,771","1,729","1,889","1,882","1,800","1,758","2,387","3,277","23,124",,
443,Electronics and appliance stores,"7,436","7,679","7,608","7,016","7,474","7,827","7,803","7,986","7,523","7,215","9,337","12,738","97,642",,
44311,"Appl.,TV, and other elect. stores","5,609","5,889","5,640","5,121","5,555","5,724","5,687","5,691","5,383","5,163","6,846","9,272","71,580",,
