Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2011,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2011,Feb. 2011,Mar. 2011,Apr. 2011,May 2011,Jun. 2011,Jul. 2011,Aug. 2011,Sep. 2011,Oct. 2011,Nov. 2011,Dec. 2011,TOTAL,
,NOT ADJUSTED,,,,,,,,,,,,,,
," Retail and food services sales, total","335,937","337,692","387,469","381,125","392,347","389,028","384,965","394,896","375,264","379,734","391,377","451,954","4,601,788",
,Retail sales and food services excl motor vehicle and parts,"277,963","274,963","312,098","311,384","322,866","318,644","315,611","323,407","308,198","313,717","327,363","380,986","3,787,200",
,"Retail sales, total","298,943","300,267","345,402","339,333","349,294","346,914","341,632","352,476","333,845","337,275","351,626","408,983","4,105,990",
,"Retail sales, total (excl. motor vehicle and parts dealers)","240,969","237,538","270,031","269,592","279,813","276,530","272,278","280,987","266,779","271,258","287,612","338,015","3,291,402",
,GAFO(1),"80,478","83,827","92,526","91,932","93,685","92,516","92,492","97,409","90,769","92,557","106,030","141,633","1,155,854",
441,Motor vehicle and parts dealers,"57,974","62,729","75,371","69,741","69,481","70,384","69,354","71,489","67,066","66,017","64,014","70,968","814,588",
"4411,4412",Automobile and other motor vehicle dealers,"52,234","56,668","68,130","62,959","62,520","62,829","62,251","63,731","59,800","58,854","57,130","64,299","731,405",
4411,Automobile dealers,"49,801","53,715","63,748","58,363","57,690","57,901","57,722","59,534","56,415","55,758","54,362","61,327","686,336",
44111,New car dealers,"43,833","46,429","56,098","51,924","51,436","51,449","51,383","53,106","50,476","50,061","48,848","55,704","610,747",
44112,Used car dealers,"5,968","7,286","7,650","6,439","6,254","6,452","6,339","6,428","5,939","5,697","5,514","5,623","75,589",
4413,"Automotive parts, acc., and tire stores","5,740","6,061","7,241","6,782","6,961","7,555","7,103","7,758","7,266","7,163","6,884","6,669","83,183",
"442,443","Furniture, home furn, electronics, and appliance stores","13,653","14,110","15,587","14,094","14,604","14,804","15,148","16,016","15,105","14,762","18,037","22,019","187,939",
442,Furniture and home furnishings stores,"6,249","6,489","7,530","6,896","7,086","7,039","7,244","7,689","7,455","6,977","7,945","9,053","87,652",
4421,Furniture stores,"3,567","3,859","4,291","3,890","3,850","3,782","3,994","4,126","4,047","3,741","4,130","4,308","47,585",
4422,Home furnishings stores,"2,682","2,630","3,239","3,006","3,236","3,257","3,250","3,563","3,408","3,236","3,815","4,745","40,067",
44221,Floor covering stores,948,961,"1,213","1,130","1,264","1,298","1,273","1,475","1,399","1,306","1,266","1,258","14,791",
442299,All other home furnishings stores,"1,642","1,575","1,919","1,793","1,883","1,877","1,895","1,997","1,913","1,834","2,458","3,406","24,192",
443,Electronics and appliance stores,"7,404","7,621","8,057","7,198","7,518","7,765","7,904","8,327","7,650","7,785","10,092","12,966","100,287",
44311,"Appl.,TV, and other elect. stores","5,422","5,679","5,715","5,223","5,405","5,636","5,778","6,080","5,515","5,440","7,086","9,308","72,287",
443111,Household appliance stores,"1,080","1,144","1,221","1,186","1,280","1,321","1,341","1,367","1,389","1,283","1,619","1,643","15,874",
443112," Radio, T.V., and other elect. stores","4,342","4,535","4,494","4,037","4,125","4,315","4,437","4,713","4,126","4,157","5,467","7,665","56,413",
44312, Computer and software stores,"1,793","1,748","2,097","1,776","1,868","1,876","1,898","1,998","1,901","2,149","2,754","3,330","25,188",
444,Building mat. and garden equip. and supplies dealers,"16,019","16,016","21,977","24,387","27,725","27,027","23,550","23,755","22,526","23,104","22,398","21,227","269,711",
4441,Building mat. and supplies dealers,"14,283","14,214","18,996","20,331","22,796","22,584","20,856","21,196","20,084","20,024","19,444","18,150","232,958",
44412,Paint and wallpaper stores,512,536,688,706,710,856,804,865,794,743,669,571,"8,454",
44413, Hardware stores,"1,325","1,243","1,502","1,752","2,040","1,922","1,764","1,784","1,631","1,710","1,700","1,726","20,099",
445,Food and beverage stores,"48,534","45,669","49,830","50,693","51,547","51,142","52,626","51,674","50,018","50,976","51,435","56,163","610,307",
4451,Grocery stores,"44,349","41,295","45,143","45,663","46,397","45,960","47,249","46,525","44,947","45,793","46,109","48,906","548,336",
44511,Supermarkets and other grocery (except convenience) stores,"42,580","39,561","43,189","43,624","44,220","43,806","45,028","44,366","42,952","43,835","44,236","46,998","524,395",
4453,"Beer, wine, and liquor stores","2,913","3,012","3,279","3,394","3,504","3,585","3,778","3,612","3,553","3,552","3,686","4,944","42,812",
446,Health and personal care stores,"22,287","21,356","23,704","22,325","22,848","22,464","21,952","23,078","22,271","22,611","22,433","25,378","272,707",
44611,Pharmacies and drug stores,"19,156","18,118","20,044","18,947","19,509","19,086","18,548","19,490","18,856","19,316","19,119","21,153","231,342",
447,Gasoline stations,"37,986","36,622","44,283","45,770","48,148","47,412","48,086","48,206","45,336","45,013","42,883","42,667","532,412",
448,Clothing and clothing access. stores,"13,669","15,892","18,217","18,618","18,735","17,750","17,881","19,189","17,956","18,207","20,884","30,986","227,984",
4481,Clothing stores,"10,138","11,344","13,691","13,842","13,628","13,246","13,367","13,823","13,398","13,753","15,752","21,633","167,615",
44811, Men's clothing stores,509,520,626,722,709,692,616,575,675,716,743,"1,137","8,240",
44812,Women's clothing stores,"2,432","2,854","3,579","3,718","3,644","3,415","3,184","3,152","3,441","3,440","3,786","5,033","41,678",
44814,Family clothing stores,"5,069","5,768","6,864","6,919","6,815","6,640","7,042","7,463","6,652","6,993","8,326","11,603","86,154",
44819,Other clothing stores,955,866,"1,050",971,"1,012","1,055",971,987,916,"1,006","1,132","1,576","12,497",
4482,Shoe stores,"1,784","2,195","2,388","2,431","2,330","2,253","2,356","3,034","2,329","2,296","2,510","3,471","29,377",
44831,Jewelry stores,"1,604","2,207","1,957","2,173","2,600","2,075","1,966","2,159","2,062","1,986","2,434","5,572","28,795",
451,"Sporting goods, hobby, book, and music stores","6,263","5,371","6,326","6,151","6,081","6,384","6,147","7,777","6,511","5,717","7,029","10,783","80,540",
45111, Sporting goods stores,"2,411","2,454","3,264","3,244","3,166","3,503","3,332","3,621","3,010","2,745","3,225","4,994","38,969",
45112," Hobby, toy, and game stores",967,"1,023","1,193","1,184","1,065","1,061","1,082","1,067","1,143","1,243","1,951","3,033","16,012",
451211,Book stores,"1,946",959,879,796,933,899,863,"2,138","1,330",747,792,"1,391","13,673",
452,General merchandise stores,"44,356","45,844","49,721","50,527","51,482","50,954","50,705","51,315","48,285","50,926","57,257","73,999","625,371",
4521,Department stores (excl.L.D),"11,919","12,885","14,210","14,546","14,517","14,752","13,930","14,706","13,627","14,294","18,073","26,305","183,764",
452112,Discount dept. stores,"7,934","8,348","9,207","9,278","9,319","9,542","9,116","9,694","8,697","9,264","11,395","15,770","117,564",
452111,Department stores(excl. discount department stores),"3,985","4,537","5,003","5,268","5,198","5,210","4,814","5,012","4,930","5,030","6,678","10,535","66,200",
4521,Department stores (incl. L.D.)(2),"12,122","13,189","14,450","14,791","14,766","15,003","14,173","14,952","13,859","14,539","18,391","26,733","186,968",
452112,Discount dept. stores,"8,044","8,499","9,332","9,404","9,447","9,671","9,241","9,824","8,814","9,389","11,546","15,970","119,181",
452111,Department stores(excl. discount department stores),"4,078","4,690","5,118","5,387","5,319","5,332","4,932","5,128","5,045","5,150","6,845","10,763","67,787",
4529,Other general merchandise stores,"32,437","32,959","35,511","35,981","36,965","36,202","36,775","36,609","34,658","36,632","39,184","47,694","441,607",
45291,Warehouse clubs and supercenters,"28,856","28,961","31,023","31,438","32,359","31,566","32,376","32,248","30,329","32,076","34,031","41,160","386,423",
45299,All other gen. merchandise stores,"3,581","3,998","4,488","4,543","4,606","4,636","4,399","4,361","4,329","4,556","5,153","6,534","55,184",
453,Miscellaneous store retailers,"7,507","8,109","8,661","8,636","9,536","9,488","9,137","9,600","9,252","9,267","8,907","10,273","108,373",
4532,"Office supplies, stationery, and gift stores","2,537","2,610","2,675","2,542","2,783","2,624","2,611","3,112","2,912","2,945","2,823","3,846","34,020",
45321,Office supplies and stationery stores,"1,604","1,491","1,579","1,370","1,369","1,302","1,347","1,916","1,647","1,390","1,454","1,673","18,142",
45322,"Gift, novelty, and souvenir stores",933,"1,119","1,096","1,172","1,414","1,322","1,264","1,196","1,265","1,555","1,369","2,173","15,878",
4533,Used merchandise stores,944,"1,030","1,183","1,065","1,063","1,002","1,009","1,208","1,113","1,183","1,180","1,257","13,237",
454,Nonstore retailers,"30,695","28,549","31,725","28,391","29,107","29,105","27,046","30,377","29,519","30,675","36,349","44,520","376,058",
4541,Electronic shopping and mail-order houses,"22,177","20,625","23,765","21,903","23,074","23,042","21,590","24,329","23,338","23,961","29,070","36,708","293,582",
45431,Fuel dealers,"5,457","4,737","4,077","2,914","2,437","2,270","2,086","2,382","2,626","3,119","3,550","4,230","39,885",
722,Food services and drinking places,"36,994","37,425","42,067","41,792","43,053","42,114","43,333","42,420","41,419","42,459","39,751","42,971","495,798",
7221,Full service restaurants,"16,223","16,259","18,283","17,970","18,620","18,071","18,911","18,328","17,521","18,014","16,805","19,076","214,081",
7222, Limited service eating places,"16,038","16,215","18,237","17,999","18,563","18,357","18,897","18,679","17,631","18,157","17,281","18,269","214,323",
7224,Drinking places (alcoholic beverages),"1,560","1,619","1,830","1,759","1,756","1,724","1,835","1,721","1,726","1,747","1,636","1,710","20,623",
,ADJUSTED(3),,,,,,,,,,,,,,
," Retail and food services sales, total","372,403","375,095","378,891","380,605","380,745","383,474","384,061","383,845","387,424","390,837","391,922","391,719",,
, Retail sales and food services excl motor vehicle and parts ,"305,766","307,741","311,370","313,480","314,926","316,717","316,698","318,138","318,693","320,632","321,594","320,127",,
,"Retail sales, total","332,752","334,679","338,207","339,991","339,664","341,859","342,554","342,093","345,332","348,631","349,723","349,714",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","266,115","267,325","270,686","272,866","273,845","275,102","275,191","276,386","276,601","278,426","279,395","278,122",,
,GAFO(1),"93,801","94,856","95,761","96,372","95,883","96,571","96,233","96,325","97,506","97,210","97,318","97,147",,
441,Motor vehicle and parts dealers,"66,637","67,354","67,521","67,125","65,819","66,757","67,363","65,707","68,731","70,205","70,328","71,592",,
"4411,4412",Automobile and other motor vehicle dealers,"59,970","60,672","60,722","60,363","58,981","59,723","60,379","58,576","61,586","63,148","63,267","64,557",,
4413,"Automotive parts, acc., and tire stores","6,667","6,682","6,799","6,762","6,838","7,034","6,984","7,131","7,145","7,057","7,061","7,035",,
"442,443","Furniture, home furn, electronics, and appliance stores","15,084","15,333","15,736","15,672","15,503","15,512","15,628","15,731","15,740","16,065","15,941","15,842",,
442,Furniture and home furnishings stores,"7,013","7,154","7,404","7,328","7,238","7,219","7,259","7,323","7,403","7,321","7,370","7,525",,
443,Electronics and appliance stores,"8,071","8,179","8,332","8,344","8,265","8,293","8,369","8,408","8,337","8,744","8,571","8,317",,
44312, Computer and software stores,"1,932","1,951","2,052","2,039","2,097","2,041","2,100","2,092","2,040","2,426","2,278","2,084",,
444,Building mat. and garden equip. and supplies dealers,"21,487","21,233","21,964","21,937","22,279","22,828","22,780","22,719","22,681","23,263","22,955","23,548",,
4441,Building mat. and supplies dealers,"18,646","18,364","19,053","19,054","19,253","19,690","19,787","19,662","19,594","19,944","19,680","20,189",,
445,Food and beverage stores,"49,740","50,123","50,184","50,764","50,681","50,954","51,087","51,332","51,041","51,475","51,571","51,159",,
4451,Grocery stores,"44,707","44,984","45,143","45,663","45,577","45,777","45,917","46,156","45,818","46,162","46,294","46,008",,
4453,"Beer, wine and liquor stores","3,493","3,552","3,522","3,513","3,515","3,567","3,571","3,583","3,622","3,628","3,653","3,539",,
446,Health and personal care stores,"22,603","22,527","22,727","22,415","22,734","22,714","22,748","22,940","22,866","22,932","22,891","22,801",,
44611,Pharmacies and drug stores,"19,349","19,132","19,255","19,023","19,335","19,318","19,281","19,393","19,399","19,413","19,410","19,318",,
447,Gasoline stations,"41,651","42,240","43,629","44,523","45,252","44,602","44,773","45,052","44,976","44,745","45,669","45,055",,
448,Clothing and clothing access. stores,"18,280","18,479","18,692","18,875","18,854","19,087","18,975","18,850","19,404","19,069","19,306","19,439",,
4481,Clothing stores,"13,425","13,676","13,784","13,784","13,795","14,009","13,944","13,730","14,222","14,010","14,275","14,338",,
44811, Men's clothing stores(4),648,658,683,671,687,696,679,653,702,699,700,717,,
44812,Women's clothing stores,"3,295","3,439","3,451","3,420","3,457","3,539","3,503","3,304","3,529","3,468","3,519","3,600",,
4482,Shoe stores,"2,366","2,381","2,367","2,372","2,415","2,473","2,434","2,441","2,504","2,488","2,507","2,541",,
44831,Jewelry stores,"2,308","2,243","2,352","2,530","2,464","2,424","2,409","2,493","2,493","2,387","2,343","2,382",,
451,"Sporting goods, hobby, book, and music stores","6,727","6,790","6,817","6,789","6,719","6,784","6,588","6,822","6,854","6,718","6,575","6,469",,
452,General merchandise stores,"50,889","51,356","51,638","52,191","51,925","52,331","52,262","52,190","52,673","52,512","52,655","52,556",,
4521,Department stores (excl. L.D.),"15,254","15,444","15,402","15,611","15,366","15,597","15,317","15,160","15,290","15,161","15,193","15,146",,
4529,Other general merchandise stores,"35,635","35,912","36,236","36,580","36,559","36,734","36,945","37,030","37,383","37,351","37,462","37,410",,
45291,Warehouse clubs and supercenters,"31,263","31,445","31,721","31,982","32,039","32,112","32,344","32,410","32,753","32,697","32,691","32,641",,
45299,All other gen. merchandise stores,"4,372","4,467","4,515","4,598","4,520","4,622","4,601","4,620","4,630","4,654","4,771","4,769",,
