Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2014,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2014,Feb. 2014,Mar. 2014,Apr. 2014,May 2014,Jun. 2014,Jul. 2014,Aug. 2014,Sep. 2014,Oct. 2014,Nov. 2014,Dec. 2014,TOTAL,
,NOT ADJUSTED,,,,,,,,,,,,,,
,"Retail and food services sales, total","383,459","380,246","432,827","431,335","458,705","433,388","443,153","450,365","420,516","437,277","437,196","499,976","5,208,443",
,Retail sales and food services excl motor vehicle and parts,"312,448","304,556","341,407","342,380","364,347","345,578","350,695","356,572","335,829","351,578","357,040","412,103","4,174,533",
,"Retail sales, total","340,554","337,371","383,428","383,622","407,633","385,525","394,494","400,267","373,426","387,116","389,581","449,272","4,632,289",
,"Retail sales, total (excl. motor vehicle and parts dealers)","269,543","261,681","292,008","294,667","313,275","297,715","302,036","306,474","288,739","301,417","309,425","361,399","3,598,379",
,GAFO(1),"85,984","89,228","99,124","96,818","103,651","97,307","99,088","107,249","95,340","100,820","115,295","146,974","1,236,878",
441,Motor vehicle and parts dealers,"71,011","75,690","91,420","88,955","94,358","87,810","92,458","93,793","84,687","85,699","80,156","87,873","1,033,910",
"4411,4412",Automobile and other motor vehicle dealers,"64,389","68,999","83,951","81,538","86,889","80,530","84,938","86,374","77,580","78,165","73,128","81,267","947,748",
4411,Automobile dealers,"61,212","65,021","78,497","75,474","80,094","74,183","78,760","81,103","72,680","73,795","69,808","77,634","888,261",
44111,New car dealers,"55,142","57,002","69,958","67,924","72,476","66,747","71,246","73,352","65,320","66,143","63,290","70,992","799,592",
44112,Used car dealers,"6,070","8,019","8,539","7,550","7,618","7,436","7,514","7,751","7,360","7,652","6,518","6,642","88,669",
4413,"Automotive parts, acc., and tire stores","6,622","6,691","7,469","7,417","7,469","7,280","7,520","7,419","7,107","7,534","7,028","6,606","86,162",
"442,443","Furniture, home furn, electronics, and appliance stores","15,086","15,082","16,475","15,217","16,359","15,760","16,521","17,110","16,712","16,654","19,624","23,713","204,313",
442,Furniture and home furnishings stores,"7,132","7,172","8,028","7,705","8,293","7,762","8,262","8,591","8,203","8,254","8,767","10,063","98,232",
4421,Furniture stores,"3,892","4,053","4,563","4,137","4,583","4,154","4,403","4,667","4,544","4,428","4,673","4,751","52,848",
4422,Home furnishings stores,"3,240","3,119","3,465","3,568","3,710","3,608","3,859","3,924","3,659","3,826","4,094","5,312","45,384",
44221,Floor covering stores(2),"1,208","1,169","1,314","1,418","1,424","1,455","1,456","1,495","1,418","1,504","1,294","1,289","16,444",
442299,All other home furnishings stores,"1,924","1,840","2,024","2,011","2,156","2,022","2,265","2,289","2,108","2,192","2,672","3,909","27,412",
443,Electronics and appliance stores,"7,954","7,910","8,447","7,512","8,066","7,998","8,259","8,519","8,509","8,400","10,857","13,650","106,081",
44311,"Appl.,TV, and other elect. stores","5,451","5,571","5,984","5,450","5,846","5,784","6,050","6,245","6,053","5,953","7,581","9,314","75,282",
443111,Household appliance stores,"1,234","1,244","1,365","1,252","1,394","1,390","1,419","1,403","1,388","1,399","1,541","1,572","16,601",
443112," Radio, T.V., and other elect. stores","4,217","4,327","4,619","4,198","4,452","4,394","4,631","4,842","4,665","4,554","6,040","7,742","58,681",
44312, Computer and software stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
444,Building mat. and garden equip. and supplies dealers,"19,955","19,041","24,422","30,564","33,889","30,506","29,078","26,852","26,617","27,808","25,345","24,613","318,690",
4441,Building mat. and supplies dealers,"17,726","16,867","20,782","24,646","27,377","25,657","25,600","23,866","23,737","24,398","22,044","21,171","273,871",
44412,Paint and wallpaper stores,624,615,789,886,950,958,"1,025",962,943,926,707,682,"10,067",
44413, Hardware stores,"1,654","1,560","1,856","1,959","2,175","2,017","1,995","1,934","1,898","2,067","1,922","1,931","22,968",
445,Food and beverage stores,"53,828","49,656","53,925","53,697","57,208","54,678","56,680","56,553","53,633","56,122","56,263","60,610","662,853",
4451,Grocery stores,"48,871","44,738","48,522","48,141","51,084","48,726","50,568","50,468","48,034","50,183","50,178","52,109","591,622",
44511,Supermarkets and other grocery (except convenience) stores,"47,167","43,070","46,679","46,278","49,079","46,766","48,510","48,396","46,133","48,304","48,391","50,366","569,139",
4453,"Beer, wine, and liquor stores","3,396","3,372","3,697","3,713","4,202","4,098","4,249","4,223","3,861","4,092","4,137","5,610","48,650",
446,Health and personal care stores,"24,385","22,997","24,863","24,658","25,398","24,669","25,053","25,107","25,077","25,971","24,518","29,448","302,144",
44611,Pharmacies and drug stores,"20,712","19,203","20,544","20,682","21,118","20,488","20,980","20,707","20,785","21,765","20,285","24,137","251,406",
447,Gasoline stations,"42,164","40,152","45,742","46,630","49,803","48,322","49,438","48,302","45,062","44,942","39,730","36,515","536,802",
